dist,N,B,Q
0.09934868254645857,100,1000000,0.01
0.03846302241595734,100,1000000,0.1
0.04217209909346187,100,1000000,0.25
0.059770000000000434,100,1000000,0.5
0.06059263556297967,200,1000000,0.01
0.026526848879629084,200,1000000,0.1
0.030338546125967092,200,1000000,0.25
0.042043000000000164,200,1000000,0.5
0.034972378629281375,500,1000000,0.01
0.017355259483981755,500,1000000,0.1
0.018299291451109978,500,1000000,0.25
0.02581939955731516,500,1000000,0.5
0.02338559881016422,1000,1000000,0.01
0.01235172530121148,1000,1000000,0.1
0.013515870168647748,1000,1000000,0.25
0.019591000000000025,1000,1000000,0.5
0.00959592255134012,5000,1000000,0.01
0.005283800332668065,5000,1000000,0.1
0.006828160514513182,5000,1000000,0.25
0.007627636469213828,5000,1000000,0.5
0.0077938493121207375,10000,1000000,0.01
0.004004656022318032,10000,1000000,0.1
0.005039756481679092,10000,1000000,0.25
0.005745151565690665,10000,1000000,0.5
